Customer ID,Policy Holder Name,Gender,Age at Entry,Current Age,Occupation,Smoker Status,Medical Exam Required,Nationality,State
CUST-374680,Ravi Baguant,Male,29,34,HR Officer,No,Yes,Mauritius,Port Louis
CUST-137778,Shreya Appasamy,Female,33,44,Waiter,Yes,No,Mauritius,Port Louis
CUST-934794,Samira Ramful,Female,49,50,Carpenter,Yes,Yes,Mauritius,Moka
CUST-687080,Kiran Veerasamy,Male,23,36,Contractor,Yes,Yes,Mauritius,Vacoas-Phoenix
CUST-125990,Sophie Nagapen,Female,51,56,Plumber,No,Yes,Mauritius,Plaines Wilhems
CUST-140605,Rekha Hurree,Female,54,69,Hotel Manager,Yes,No,Mauritius,Grand Port
CUST-124813,Céline Torabally,Female,57,78,Driver,No,No,Mauritius,Plaines Wilhems
CUST-392683,Meena Veerasamy,Female,31,42,Insurance Broker,No,No,Mauritius,Quatre Bornes
CUST-287241,Pooja Nunkoo,Female,26,44,Lawyer,Yes,Yes,Mauritius,Flacq
CUST-924629,Christine Rughooputh,Female,31,41,Marketing Officer,Yes,No,Mauritius,Quatre Bornes
CUST-146542,Jean-Marie Nunkoo,Male,30,52,Marketing Officer,Yes,Yes,Mauritius,Grand Port
CUST-446239,Suresh Mungur,Male,25,44,Electrician,Yes,No,Mauritius,Rivière du Rempart
CUST-521947,Laurent Bhugon,Male,37,59,Financial Analyst,Yes,Yes,Mauritius,Savanne
CUST-884475,Thierry Rughoonauth,Male,33,38,Contractor,No,No,Mauritius,Flacq
CUST-400850,Avinash Seeboo,Male,52,58,Marketing Officer,No,No,Mauritius,Savanne
CUST-596171,Nicolas Seetaram,Male,20,45,Factory Supervisor,Yes,No,Mauritius,Rivière du Rempart
CUST-197923,Lata Mootien,Female,39,63,Pharmacist,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-148458,Ashish Lutchmanen,Male,45,52,Customs Officer,Yes,No,Mauritius,Savanne
CUST-853240,Raj Elahee,Male,45,67,Farmer,No,No,Mauritius,Plaines Wilhems
CUST-907451,Priya Peerthum,Female,53,56,Marketing Officer,Yes,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-152657,Pravesh Moothoosamy,Male,43,60,Pharmacist,Yes,No,Mauritius,Port Louis
CUST-656932,Amina Mungur,Female,56,73,Cleaner,No,No,Mauritius,Moka
CUST-970914,Navin Dabeesing,Male,30,47,HR Officer,Yes,No,Mauritius,Rivière du Rempart
CUST-390782,Nitin Baguant,Other,34,58,Real Estate Agent,No,Yes,Mauritius,Plaines Wilhems
CUST-399607,Meena Luchmun,Female,18,25,Architect,No,No,Mauritius,Quatre Bornes
CUST-258157,Dinesh Seenarain,Male,18,25,Farmer,Yes,Yes,Mauritius,Port Louis
CUST-668969,Laurent Mootien,Male,27,41,Sales Representative,Yes,Yes,Mauritius,Vacoas-Phoenix
CUST-712451,Asha Veerasamy,Female,22,44,Teacher,No,No,Mauritius,Port Louis
CUST-890075,Christine Seeboo,Female,28,40,Sales Representative,Yes,No,Mauritius,Plaines Wilhems
CUST-130434,Sushma Gungah,Female,25,37,Plumber,No,Yes,Mauritius,Vacoas-Phoenix
CUST-660069,Divya Bucktowar,Female,19,19,Security Guard,Yes,Yes,Mauritius,Moka
CUST-290556,Ravi Moothoosamy,Male,55,56,Lawyer,No,No,Mauritius,Plaines Wilhems
CUST-898207,Sanjay Mootien,Male,18,30,Architect,No,No,Mauritius,Vacoas-Phoenix
CUST-885408,Roshan Lutchmanen,Male,44,61,Doctor,No,Yes,Mauritius,Moka
CUST-132537,Sunita Peerthum,Female,24,31,Driver,Yes,Yes,Mauritius,Plaines Wilhems
CUST-219946,Vandana Mungur,Female,55,73,Tourism Officer,No,No,Mauritius,Beau Bassin-Rose Hill
CUST-736745,Yannick Ramjuttun,Male,54,77,Business Owner,Yes,No,Mauritius,Port Louis
CUST-703766,Pradeep Seeboo,Male,39,60,Farmer,No,Yes,Mauritius,Port Louis
CUST-831059,Loic Bundhun,Male,40,64,Bank Officer,Yes,Yes,Mauritius,Grand Port
CUST-488571,David Mungur,Male,18,20,Insurance Broker,No,Yes,Mauritius,Vacoas-Phoenix
CUST-554582,Usha Bundhun,Female,60,71,Logistics Coordinator,Yes,No,Mauritius,Port Louis
CUST-383201,Jayshree Naidoo,Female,53,72,Textile Worker,No,No,Mauritius,Savanne
CUST-437960,Seema Beeharry,Female,54,61,Accountant,No,No,Mauritius,Plaines Wilhems
CUST-739979,Eric Fowdar,Male,40,61,Farmer,No,Yes,Mauritius,Rivière du Rempart
CUST-611233,Sanjay Issack,Male,30,36,Carpenter,No,No,Mauritius,Plaines Wilhems
CUST-389688,Geeta Busgopaul,Female,54,71,Civil Servant,Yes,Yes,Mauritius,Plaines Wilhems
CUST-682144,Gita Gungah,Female,29,53,Pharmacist,No,No,Mauritius,Savanne
CUST-408528,Anita Mohit,Female,36,43,Security Guard,Yes,No,Mauritius,Moka
CUST-680358,Lucie Teeluck,Female,22,38,Carpenter,No,No,Mauritius,Grand Port
CUST-421517,Eric Beeharry,Male,56,64,Hotel Manager,Yes,Yes,Mauritius,Plaines Wilhems
CUST-823688,Sarita Peerthum,Female,24,29,Driver,Yes,No,Mauritius,Plaines Wilhems
CUST-650121,Vinod Peerthum,Male,27,46,Financial Analyst,Yes,Yes,Mauritius,Plaines Wilhems
CUST-416950,Anand Issack,Male,36,36,Textile Worker,Yes,No,Mauritius,Port Louis
CUST-406327,Vikram Curpen,Male,45,67,Retail Manager,No,Yes,Mauritius,Vacoas-Phoenix
CUST-592198,Raj Ramessur,Male,38,53,HR Officer,No,Yes,Mauritius,Curepipe
CUST-219629,Fatima Teeluck,Female,27,29,Security Guard,No,Yes,Mauritius,Flacq
CUST-256445,Vikram Permalloo,Male,18,43,Chef,No,Yes,Mauritius,Curepipe
CUST-901577,Vishal Curpen,Male,45,58,Cleaner,Yes,No,Mauritius,Rivière du Rempart
CUST-717113,Leila Seeboo,Female,60,73,Bank Officer,Yes,Yes,Mauritius,Quatre Bornes
CUST-321275,Nicolas Baguant,Male,48,56,Accountant,Yes,Yes,Mauritius,Port Louis
CUST-102805,Suresh Ramdenee,Male,33,46,HR Officer,No,No,Mauritius,Port Louis
CUST-396451,Zara Luchmun,Female,54,76,Logistics Coordinator,Yes,Yes,Mauritius,Quatre Bornes
CUST-942956,Vinod Mungur,Male,32,38,Marketing Officer,Yes,Yes,Mauritius,Moka
CUST-174878,Imran Permalloo,Male,35,36,Factory Supervisor,No,No,Mauritius,Savanne
CUST-418862,Eric Busgopaul,Male,33,55,Security Guard,No,No,Mauritius,Savanne
CUST-553014,Manoj Boodhun,Male,33,56,Electrician,No,Yes,Mauritius,Port Louis
CUST-121753,Reena Soobroy,Female,46,70,Architect,Yes,Yes,Mauritius,Rivière du Rempart
CUST-290305,Leila Beeharry,Female,35,53,Marketing Officer,No,Yes,Mauritius,Rivière du Rempart
CUST-436653,Gita Mootien,Female,29,50,Software Developer,Yes,No,Mauritius,Savanne
CUST-794769,Usha Ramessur,Female,28,40,Sugarcane Worker,Yes,No,Mauritius,Port Louis
CUST-221552,Fatima Bhugon,Female,20,44,Security Guard,Yes,No,Mauritius,Savanne
CUST-479353,Jean-Marie Chundunsing,Male,37,56,Port Authority Officer,No,Yes,Mauritius,Plaines Wilhems
CUST-402020,Parveen Seenarain,Female,27,41,Port Authority Officer,Yes,Yes,Mauritius,Curepipe
CUST-844261,Geeta Gokool,Female,24,29,Bank Officer,Yes,No,Mauritius,Port Louis
CUST-223172,Pooja Moothoosamy,Female,39,59,Police Officer,No,No,Mauritius,Rivière du Rempart
CUST-975271,Aisha Nagapen,Female,41,56,Customs Officer,Yes,No,Mauritius,Flacq
CUST-728492,Thierry Elahee,Male,45,61,Retail Manager,Yes,No,Mauritius,Beau Bassin-Rose Hill
CUST-925981,Laurent Mootien,Male,34,50,Architect,Yes,No,Mauritius,Beau Bassin-Rose Hill
CUST-791998,Vinod Soobroy,Male,54,69,Police Officer,No,No,Mauritius,Grand Port
CUST-669827,Sanjeev Peerthum,Male,56,68,Logistics Coordinator,No,Yes,Mauritius,Curepipe
CUST-501574,Nathalie Fowdar,Female,48,55,Sales Representative,Yes,No,Mauritius,Beau Bassin-Rose Hill
CUST-795928,Asha Hurree,Female,39,64,Police Officer,No,Yes,Mauritius,Port Louis
CUST-205239,Vinod Mootien,Male,29,43,Software Developer,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-261859,Laurent Naidoo,Male,59,61,Customs Officer,No,No,Mauritius,Moka
CUST-184216,Stéphane Naidoo,Male,28,38,Textile Worker,No,No,Mauritius,Moka
CUST-137642,Nitin Appasamy,Male,26,45,Engineer,Yes,No,Mauritius,Curepipe
CUST-203225,Dinesh Dabeesing,Male,32,56,Software Developer,No,Yes,Mauritius,Black River
CUST-440131,Pradeep Boodhun,Male,21,46,Doctor,No,No,Mauritius,Grand Port
CUST-656968,Shreya Gokool,Female,59,72,Chef,Yes,Yes,Mauritius,Port Louis
CUST-749813,Ajay Hurree,Male,37,58,Pharmacist,No,Yes,Mauritius,Plaines Wilhems
CUST-367729,Mohammed Moothoosamy,Male,36,57,Civil Servant,No,No,Mauritius,Black River
CUST-563187,Marie Bissessur,Female,39,50,Waiter,No,No,Mauritius,Black River
CUST-308894,Eric Seeboo,Male,34,46,Customs Officer,Yes,Yes,Mauritius,Grand Port
CUST-410244,Christine Fowdar,Female,20,42,Financial Analyst,Yes,No,Mauritius,Plaines Wilhems
CUST-916118,Reena Rughoonauth,Female,38,61,Doctor,No,No,Mauritius,Beau Bassin-Rose Hill
CUST-940886,Fabrice Ramjuttun,Male,42,53,Hotel Manager,Yes,No,Mauritius,Black River
CUST-201883,Ravi Baguant,Male,32,52,Nurse,No,No,Mauritius,Port Louis
CUST-237795,Anand Rughooputh,Male,45,47,Financial Analyst,No,No,Mauritius,Port Louis
CUST-483629,Ravi Appasamy,Male,27,43,Insurance Broker,No,Yes,Mauritius,Plaines Wilhems
CUST-882824,Roshan Ramessur,Male,27,37,Business Owner,No,Yes,Mauritius,Port Louis
CUST-859396,Céline Rughoonauth,Female,25,46,Security Guard,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-662636,Avinash Nunkoo,Male,31,34,Logistics Coordinator,No,No,Mauritius,Flacq
CUST-807617,Anand Bundhun,Male,51,58,Customs Officer,Yes,No,Mauritius,Quatre Bornes
CUST-166287,Fabrice Naidoo,Male,49,69,Logistics Coordinator,No,No,Mauritius,Port Louis
CUST-419149,Sunita Boodhun,Female,31,46,Business Owner,Yes,Yes,Mauritius,Vacoas-Phoenix
CUST-575679,Ravi Hurree,Male,37,48,Textile Worker,No,Yes,Mauritius,Vacoas-Phoenix
CUST-745558,Mahesh Gungah,Male,43,56,Architect,Yes,No,Mauritius,Plaines Wilhems
CUST-997004,Patrick Gokool,Male,27,38,Software Developer,No,No,Mauritius,Port Louis
CUST-228093,Sanjeev Elahee,Other,25,39,Accountant,Yes,Yes,Mauritius,Port Louis
CUST-232040,Deepak Gokool,Male,59,84,Chef,Yes,Yes,Mauritius,Vacoas-Phoenix
CUST-714867,Parveen Dilmohamed,Female,38,44,Hotel Manager,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-390743,Geeta Ramsamy,Female,59,63,Retail Manager,No,Yes,Mauritius,Port Louis
CUST-115582,Pradeep Seenarain,Male,30,41,Pharmacist,No,Yes,Mauritius,Port Louis
CUST-877747,Kavita Seenarain,Female,41,54,Real Estate Agent,Yes,Yes,Mauritius,Rivière du Rempart
CUST-722503,Anand Seetaram,Male,27,30,HR Officer,Yes,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-580292,Jayshree Seeboo,Female,28,48,Teacher,Yes,No,Mauritius,Vacoas-Phoenix
CUST-213206,Sushma Rughoonauth,Female,34,49,HR Officer,Yes,Yes,Mauritius,Grand Port
CUST-232321,Shreya Bissessur,Female,29,37,Contractor,No,No,Mauritius,Curepipe
CUST-575755,Pravesh Ramessur,Male,25,41,Cleaner,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-782535,Pooja Naidoo,Female,28,52,Sugarcane Worker,Yes,No,Mauritius,Rivière du Rempart
CUST-455395,Fabrice Nagapen,Male,20,34,Security Guard,No,Yes,Mauritius,Plaines Wilhems
CUST-367271,Sanjay Mungur,Male,42,53,Police Officer,No,Yes,Mauritius,Port Louis
CUST-552855,Dinesh Mohit,Male,34,37,Fisherman,Yes,Yes,Mauritius,Flacq
CUST-445658,Parveen Curpen,Female,22,43,Business Owner,No,No,Mauritius,Vacoas-Phoenix
CUST-153945,Sushma Rughooputh,Female,25,34,Cleaner,No,No,Mauritius,Port Louis
CUST-262246,Navin Dilmohamed,Male,23,44,Customs Officer,Yes,Yes,Mauritius,Grand Port
CUST-220465,Sanjeev Ramful,Male,38,62,Architect,Yes,No,Mauritius,Vacoas-Phoenix
CUST-807764,Ajay Bucktowar,Male,22,42,Sugarcane Worker,Yes,No,Mauritius,Port Louis
CUST-899444,Aisha Busgopaul,Female,45,54,Plumber,No,Yes,Mauritius,Plaines Wilhems
CUST-789275,Ashish Fowdar,Male,19,31,Engineer,Yes,Yes,Mauritius,Port Louis
CUST-494468,Jayshree Dilmohamed,Female,27,40,Logistics Coordinator,No,Yes,Mauritius,Grand Port
CUST-695164,Sanjay Veerasamy,Male,54,73,Accountant,Yes,Yes,Mauritius,Port Louis
CUST-806707,Lata Gounden,Female,42,44,Architect,No,No,Mauritius,Rivière du Rempart
CUST-386436,Patrick Nagapen,Male,21,27,Insurance Broker,Yes,No,Mauritius,Savanne
CUST-811444,Ziad Rughoonauth,Male,49,67,Port Authority Officer,No,Yes,Mauritius,Plaines Wilhems
CUST-108060,Manoj Gounden,Male,34,40,Bank Officer,Yes,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-225812,Zara Bhugon,Female,51,51,Port Authority Officer,No,Yes,Mauritius,Port Louis
CUST-341288,Sarita Luchmun,Female,37,53,Sugarcane Worker,No,Yes,Mauritius,Grand Port
CUST-119651,Rajesh Dabeesing,Male,41,55,Engineer,No,No,Mauritius,Flacq
CUST-220768,Gita Ramessur,Female,60,72,Teacher,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-972442,Lata Moothoosamy,Female,27,49,Fisherman,Yes,No,Mauritius,Vacoas-Phoenix
CUST-717476,Nathalie Dabeesing,Female,38,50,Real Estate Agent,Yes,No,Mauritius,Vacoas-Phoenix
CUST-449247,Véronique Torabally,Female,33,57,Factory Supervisor,Yes,Yes,Mauritius,Flacq
CUST-466346,Jean-Marie Veerasamy,Male,20,31,Police Officer,Yes,Yes,Mauritius,Port Louis
CUST-731661,Jean-Marie Issack,Male,18,22,Engineer,Yes,No,Mauritius,Rivière du Rempart
CUST-707616,Reena Peerthum,Female,23,37,Chef,No,No,Mauritius,Port Louis
CUST-563688,Meena Teeluck,Female,39,59,Bank Officer,No,Yes,Mauritius,Grand Port
CUST-584172,Meena Seeboo,Female,36,50,Nurse,Yes,No,Mauritius,Vacoas-Phoenix
CUST-996840,Suresh Naidoo,Male,36,38,Contractor,No,No,Mauritius,Flacq
CUST-949153,Rajesh Pillay,Male,20,38,Driver,No,No,Mauritius,Rivière du Rempart
CUST-208529,Kavita Pillay,Female,33,58,Plumber,Yes,Yes,Mauritius,Port Louis
CUST-649525,Leila Pillay,Female,56,72,Contractor,Yes,No,Mauritius,Grand Port
CUST-528625,Zara Hurree,Female,31,55,Plumber,Yes,No,Mauritius,Port Louis
CUST-811332,Rekha Curpen,Female,38,50,Financial Analyst,No,Yes,Mauritius,Grand Port
CUST-248298,Seema Mungur,Female,46,57,Bank Officer,No,Yes,Mauritius,Flacq
CUST-686072,Dinesh Seeboo,Male,47,59,Plumber,Yes,Yes,Mauritius,Moka
CUST-479404,David Seetaram,Male,35,35,Fisherman,No,Yes,Mauritius,Quatre Bornes
CUST-609892,Véronique Veerasamy,Female,51,57,Hotel Manager,Yes,Yes,Mauritius,Port Louis
CUST-908320,Rekha Seetaram,Female,31,48,Real Estate Agent,Yes,No,Mauritius,Vacoas-Phoenix
CUST-726258,Ajay Seenarain,Male,53,65,Police Officer,Yes,Yes,Mauritius,Vacoas-Phoenix
CUST-856215,Ajay Ramdenee,Male,27,41,Nurse,No,No,Mauritius,Black River
CUST-740255,Nathalie Pillay,Female,28,37,HR Officer,Yes,Yes,Mauritius,Plaines Wilhems
CUST-485709,Roshan Elahee,Male,20,41,Chef,No,No,Mauritius,Beau Bassin-Rose Hill
CUST-653081,Thierry Seetaram,Male,47,60,Factory Supervisor,Yes,Yes,Mauritius,Vacoas-Phoenix
CUST-603935,Kavita Naidoo,Female,32,43,Sugarcane Worker,Yes,Yes,Mauritius,Plaines Wilhems
CUST-571145,Marie Beeharry,Female,27,43,Police Officer,No,Yes,Mauritius,Quatre Bornes
CUST-466566,Céline Pillay,Female,27,27,Sales Representative,Yes,No,Mauritius,Rivière du Rempart
CUST-185569,Loic Hurree,Male,54,65,Hotel Manager,Yes,No,Mauritius,Quatre Bornes
CUST-244283,Véronique Permalloo,Female,50,51,Financial Analyst,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-745239,Roshan Pillay,Male,36,36,Accountant,Yes,No,Mauritius,Plaines Wilhems
CUST-862560,Ashish Curpen,Male,38,57,Real Estate Agent,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-227767,Nathalie Seeboo,Female,33,34,Pharmacist,No,No,Mauritius,Port Louis
CUST-662093,Usha Ramjuttun,Female,31,31,Insurance Broker,Yes,Yes,Mauritius,Plaines Wilhems
CUST-469954,Priya Bucktowar,Female,55,62,Chef,No,Yes,Mauritius,Moka
CUST-478120,Nisha Chundunsing,Female,24,26,Real Estate Agent,Yes,No,Mauritius,Vacoas-Phoenix
CUST-505674,Sunita Baguant,Female,32,43,Lawyer,Yes,No,Mauritius,Beau Bassin-Rose Hill
CUST-868544,Kiran Gokool,Male,30,51,Software Developer,No,Yes,Mauritius,Port Louis
CUST-953025,Yogesh Mootien,Male,34,54,Mechanic,No,No,Mauritius,Moka
CUST-850827,Ravi Bissessur,Male,33,57,Logistics Coordinator,Yes,No,Mauritius,Plaines Wilhems
CUST-430926,Jean-Marie Boodhun,Male,35,44,Insurance Broker,No,No,Mauritius,Plaines Wilhems
CUST-474314,Laetitia Ramessur,Female,24,48,Doctor,No,No,Mauritius,Port Louis
CUST-519453,Anand Dabeesing,Male,34,57,HR Officer,No,No,Mauritius,Curepipe
CUST-621691,Usha Busgopaul,Female,27,38,Real Estate Agent,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-731718,Nisha Dabeesing,Female,25,30,Textile Worker,No,No,Mauritius,Port Louis
CUST-410000,Sandrine Mungur,Female,21,30,HR Officer,No,Yes,Mauritius,Black River
CUST-144412,Kiran Pillay,Male,45,68,Carpenter,No,No,Mauritius,Moka
CUST-803787,Kavita Bissessur,Female,32,52,Security Guard,No,Yes,Mauritius,Quatre Bornes
CUST-811027,Ashish Ramjuttun,Male,38,63,HR Officer,Yes,Yes,Mauritius,Port Louis
CUST-501451,Anand Ramful,Male,43,61,Nurse,Yes,No,Mauritius,Quatre Bornes
CUST-900152,Lucie Pillay,Female,40,42,Chef,Yes,No,Mauritius,Grand Port
CUST-218959,Imran Gokool,Male,33,33,Mechanic,No,No,Mauritius,Quatre Bornes
CUST-912609,Vishal Nunkoo,Male,31,39,HR Officer,Yes,No,Mauritius,Black River
CUST-228594,Usha Elahee,Female,31,35,Engineer,No,Yes,Mauritius,Quatre Bornes
CUST-949884,Patrick Mohit,Male,39,60,Electrician,No,Yes,Mauritius,Flacq
CUST-992717,Zara Seeboo,Female,34,39,Mechanic,No,Yes,Mauritius,Port Louis
CUST-348235,Laetitia Seenarain,Female,51,76,Port Authority Officer,Yes,No,Mauritius,Flacq
CUST-942700,Lucie Moothoosamy,Female,52,69,Retail Manager,Yes,Yes,Mauritius,Plaines Wilhems
CUST-530749,Roshan Chundunsing,Male,25,49,Sales Representative,Yes,Yes,Mauritius,Curepipe
CUST-588461,Suresh Pillay,Male,24,45,Real Estate Agent,No,Yes,Mauritius,Vacoas-Phoenix
CUST-716338,Parveen Baguant,Female,38,43,Retail Manager,No,Yes,Mauritius,Vacoas-Phoenix
CUST-418897,Pravesh Permalloo,Male,29,34,Factory Supervisor,No,Yes,Mauritius,Grand Port
CUST-987025,Jayshree Ramessur,Female,19,21,Lawyer,Yes,No,Mauritius,Port Louis
CUST-659392,Samira Bucktowar,Female,53,55,Insurance Broker,Yes,Yes,Mauritius,Port Louis
CUST-734534,Lata Rughooputh,Female,27,37,Chef,Yes,Yes,Mauritius,Port Louis
CUST-782759,Raj Nunkoo,Male,56,62,Chef,No,Yes,Mauritius,Rivière du Rempart
CUST-773088,Yogesh Ramessur,Male,42,51,Customs Officer,Yes,No,Mauritius,Plaines Wilhems
CUST-162823,Meena Busgopaul,Female,45,50,HR Officer,No,No,Mauritius,Rivière du Rempart
CUST-250647,Deepak Ramjuttun,Male,26,36,Electrician,No,No,Mauritius,Port Louis
CUST-688933,Anand Seetaram,Male,27,30,Electrician,Yes,No,Mauritius,Port Louis
CUST-247720,Leila Gokool,Female,35,38,Doctor,No,No,Mauritius,Vacoas-Phoenix
CUST-267457,Gita Gokool,Female,25,35,Chef,No,Yes,Mauritius,Beau Bassin-Rose Hill
CUST-589491,Usha Seetaram,Female,29,44,Bank Officer,No,Yes,Mauritius,Port Louis
CUST-579441,Radha Seetaram,Female,29,36,Tourism Officer,No,Yes,Mauritius,Port Louis
CUST-983791,Nitin Ramjuttun,Male,25,45,Customs Officer,No,Yes,Mauritius,Vacoas-Phoenix
CUST-377319,Sushma Seenarain,Female,26,49,Fisherman,No,No,Mauritius,Port Louis
CUST-689107,Mahesh Fowdar,Other,47,53,Fisherman,No,Yes,Mauritius,Grand Port
CUST-676566,Patrick Peerthum,Male,25,33,Contractor,Yes,Yes,Mauritius,Curepipe
CUST-933510,Stéphane Ramful,Male,19,29,Sugarcane Worker,No,Yes,Mauritius,Plaines Wilhems
CUST-624369,Malini Callychurn,Female,38,39,Nurse,Yes,Yes,Mauritius,Black River
CUST-579187,Vandana Chundunsing,Female,59,63,Cleaner,Yes,No,Mauritius,Quatre Bornes
CUST-512042,Sandrine Ramdenee,Female,30,49,Bank Officer,No,No,Mauritius,Black River
CUST-955374,Samira Teeluck,Female,23,23,Fisherman,No,Yes,Mauritius,Curepipe
CUST-935457,Vinod Seeboo,Male,36,59,Teacher,No,No,Mauritius,Curepipe
CUST-338596,Vinod Fowdar,Male,55,78,Doctor,No,Yes,Mauritius,Flacq
CUST-982027,Lata Veerasamy,Female,47,59,Police Officer,Yes,Yes,Mauritius,Flacq
CUST-119857,Pooja Elahee,Female,38,52,Electrician,No,Yes,Mauritius,Savanne
CUST-626195,Isabelle Nagapen,Female,29,53,Contractor,No,Yes,Mauritius,Black River
